Generated,Corrected
"প্রিয় অভিভাবকবৃন্দ,","প্রিয় অভিভাবকবৃন্দ,"
আমি আশা করি আপনি ভালো আছেন।,আমি আশা করি আপনারা ভালো আছেন।
আমি আপনাদের জানাতে লিখছি যে একটি রুটিন পরিদর্শনের সময় আমাদের শ্রেণীকক্ষে নিটস (পঁচা পোকা) পাওয়া গেছে।,আমি আপনাদের জানাতে লিখছি যে একটি রুটিন পরিদর্শনের সময় আমাদের শ্রেণীকক্ষে নিটস (উকুনের ডিম) পাওয়া গেছে।
"নিটসের উপস্থিতি অবশ্যই পোকামাকড়ের সংক্রমণ নির্দেশ করে না, তবে শিক্ষার্থীদের মধ্যে পোকা ছড়িয়ে পড়া রোধ করার জন্য সক্রিয় পদক্ষেপ নেওয়া অত্যন্ত গুরুত্বপূর্ণ।","উকুনের ডিমের উপস্থিতি নিশ্চিতভাবে পোকামাকড়ের সংক্রমণ নির্দেশ না করলেও, শিক্ষার্থীদের মধ্যে উকুন ছড়িয়ে পড়া রোধ করার জন্য সক্রিয় পদক্ষেপ নেওয়া অত্যন্ত গুরুত্বপূর্ণ।"
"সতর্কতামূলক পদক্ষেপ হিসেবে, আমি দয়া করে আপনার সন্তানের চুলে নিটস এবং পোকা আছে কিনা তা পরীক্ষা করার জন্য আপনাদের অনুরোধ করছি।","সতর্কতামূলক পদক্ষেপ হিসেবে, আমি দয়া করে আপনার সন্তানের চুলে উকুনের ডিম এবং উকুন আছে কিনা তা পরীক্ষা করার জন্য আপনাদের অনুরোধ করছি।"
"যদি নিটস বা পোকা পাওয়া যায়, তাহলে স্বাস্থ্য কর্তৃপক্ষের দেওয়া সুপারিশকৃত চিকিৎসা এবং প্রতিরোধের নির্দেশিকা অনুসরণ করুন।","যদি ডিম বা উকুন পাওয়া যায়, তাহলে স্বাস্থ্য কর্তৃপক্ষের দেওয়া সুপারিশকৃত চিকিৎসা এবং প্রতিরোধের নির্দেশিকা অনুসরণ করুন।"
আপনার সন্তানের পোকা থাকলে স্কুলকে জানানো অত্যন্ত গুরুত্বপূর্ণ যাতে আমরা আগের মতো ছড়িয়ে পড়া রোধের জন্য যথাযথ পদক্ষেপ নিতে পারি।,আপনার সন্তানের চুলে উকুন থাকলে স্কুলকে জানানো অত্যন্ত গুরুত্বপূর্ণ যাতে আমরা আগের মতো উকুন ছড়িয়ে পড়া রোধে যথাযথ পদক্ষেপ নিতে পারি।
"পোকার ছড়িয়ে পড়া রোধ করার জন্য, দয়া করে আপনার সন্তানের মনে করিয়ে দিন যেন তারা তাদের সহপাঠীদের সাথে টুপি, চুলের গয়না, কাঁটা বা ব্রাশ শেয়ার না করে।","উকুন ছড়িয়ে পড়া রোধ করার জন্য, দয়া করে আপনার সন্তানকে মনে করিয়ে দিন যেন তারা তাদের সহপাঠীদের সাথে টুপি, চুলের গয়না, কাঁটা বা ব্রাশ শেয়ার না করে।"
"নিয়মিতভাবে টুপি, বিছানার চাদর এবং জামাকাপড় গরম পানিতে ধোয়া এবং শুকানোও পোকা ও নিটস নির্মূল করতে সহায়ক হতে পারে।","নিয়মিতভাবে টুপি, বিছানার চাদর এবং জামাকাপড় গরম পানিতে ধোয়া এবং শুকানোও উকুন ও এর ডিম নির্মূল করতে সহায়ক হতে পারে।"
"আমাদের শিক্ষার্থীদের স্বাস্থ্য এবং সুরক্ষা আমাদের প্রধান অগ্রাধিকার, এবং আমরা এই সমস্যাটি দ্রুত সমাধান করার জন্য আপনার সহযোগিতার জন্য কৃতজ্ঞ।","আমাদের শিক্ষার্থীদের স্বাস্থ্য এবং সুরক্ষা আমাদের প্রধান অগ্রাধিকার, এবং আমরা এই সমস্যাটি দ্রুত সমাধান করার জন্য আপনার সহযোগিতা আশা করছি।"
"যদি আপনার কোনো প্রশ্ন বা উদ্বেগ থাকে, তাহলে দয়া করে আমার সাথে অথবা স্কুলের নার্সের সাথে যোগাযোগ করতে দ্বিধা করবেন না।","যদি আপনার কোনো প্রশ্ন বা উদ্বেগ থাকে, তাহলে দয়া করে আমার সাথে অথবা স্কুলের নার্সের সাথে যোগাযোগ করতে দ্বিধা করবেন না।"
এই বিষয়ে আপনার মনোযোগের জন্য ধন্যবাদ।,এই বিষয়ে আপনার মনোযোগের জন্য ধন্যবাদ।
"বিশ্বাস সহ,","আপনার একান্ত,"
"আমরা আনন্দিত যে আমাদের প্রতিভাবান নৃত্যদল ‘হ্যাপি ক্ল্যাপার’, যা ২০টি স্টেজ ২ এবং ৩ এর ছাত্র নিয়ে গঠিত, শীঘ্রই সিডনি অপেরা হাউসে আসন্ন ইস্টেডফড প্রতিযোগিতায় তাদের দক্ষতা এবং শিল্পকলার প্রদর্শন করবে।","আমরা আনন্দিত যে আমাদের প্রতিভাবান নৃত্যদল ‘হ্যাপি ক্ল্যাপার’, যা স্টেজ ২ এবং ৩ এর ২০ জন শিক্ষার্থী নিয়ে গঠিত, শীঘ্রই সিডনি অপেরা হাউসে আসন্ন ইস্টেডফড প্রতিযোগিতায় তাদের দক্ষতা এবং শিল্পকলা প্রদর্শন করবে।"
"নৃত্যশিল্পীরা তাদের প্রশিক্ষকদের নির্দেশনার অধীনে নিবিড়ভাবে অনুশীলন এবং তাদের রুটিনকে নিখুঁত করার জন্য কাজ করেছেন, এবং তারা আত্মবিশ্বাস এবং উৎসাহ নিয়ে মঞ্চে ওঠার জন্য প্রস্তুত।","নৃত্যশিল্পীরা তাদের প্রশিক্ষকদের নির্দেশনায় নিবিড়ভাবে অনুশীলন এবং তাদের রুটিনকে নিখুঁত করার জন্য কাজ করেছেন, এবং তারা আত্মবিশ্বাস এবং উৎসাহ নিয়ে মঞ্চে ওঠার জন্য প্রস্তুত।"
"এটি আমাদের ছাত্রদের জন্য একটি দুর্দান্ত সুযোগ তাদের সৃজনশীলতা, দলগত কাজ এবং নাচের প্রতি তাদের আবেগ প্রদর্শন করার।","এটি আমাদের শিক্ষার্থীদের জন্য তাদের সৃজনশীলতা, দলগত কাজ এবং নাচের প্রতি তাদের আবেগ প্রদর্শন করার একটি দুর্দান্ত সুযোগ।"
আসুন আমরা আমাদের নৃত্যদলকে সমর্থন করি এবং উদ্দীপনার সাথে তাদের উৎসাহিত করি যখন তারা ইস্টেডফডে তাদের প্রতিভা এবং নিবেদন নিয়ে মঞ্চকে আলোকিত করবে!,আমাদের নৃত্যদল যখন ইস্টেডফডে তাদের প্রতিভা এবং নিবেদন নিয়ে মঞ্চকে আলোকিত করবে তখন আসুন আমরা তাদেরকে সমর্থন করি এবং তাদের প্রতি উল্লাস দেখাই!
"প্রিয় অভিভাবক ও অভিভাবিকাগণ,","প্রিয় অভিভাবকবৃন্দ,"
আমরা আনন্দের সাথে ঘোষণা করছি যে আমাদের হারমনি হাই স্কুলের ৮ম শ্রেণীর শিক্ষার্থীদের জন্য একটি আসন্ন বিজ্ঞান কার্যক্রম অনুষ্ঠিত হতে যাচ্ছে।,আমরা আনন্দের সাথে ঘোষণা করছি যে আমাদের হারমনি হাই স্কুলের ৮ম শ্রেণীর শিক্ষার্থীদের জন্য একটি আসন্ন বিজ্ঞান কার্যক্রম অনুষ্ঠিত হতে যাচ্ছে।
"এই কার্যক্রমের নাম ""আমাদের গ্যালাক্সি অন্বেষণ"" এবং এটি আমাদের মিল্কি ওয়ে গ্যালাক্সির বিস্ময়সমূহ সম্পর্কে একটি আকর্ষণীয় এবং ইন্টারঅ্যাকটিভ শিক্ষণ অভিজ্ঞতা প্রদান করবে।","এই কার্যক্রমের নাম ""এক্সপ্লোরিং আওয়ার গ্যালাক্সি"" এবং এটি আমাদের মিল্কিওয়ে গ্যালাক্সির বিস্ময়সমূহ সম্পর্কে একটি আকর্ষণীয় এবং ইন্টারঅ্যাকটিভ শিক্ষণ অভিজ্ঞতা প্রদান করবে।"
কার্যক্রমের বিস্তারিত:,কার্যক্রমের বিস্তারিত:
"তারিখ: বুধবার, ১৭ই মার্চ।","তারিখ: বুধবার, ১৭ই মার্চ।"
সময়: সকাল ১০:০০ - দুপুর ১২:০০।,সময়: সকাল ১০:০০ - দুপুর ১২:০০।
অবস্থান: হারমনি হাই স্কুল অডিটোরিয়াম।,অবস্থান: হারমনি হাই স্কুল অডিটোরিয়াম।
খরচ: প্রতি শিক্ষার্থী $২০।,খরচ: প্রতি শিক্ষার্থী $২০।
"এই কার্যক্রমের সময়, শিক্ষার্থীরা নিম্নলিখিত সুযোগগুলো পাবে:","এই কার্যক্রমের সময়, শিক্ষার্থীরা নিম্নলিখিত সুযোগগুলো পাবে:"
আমাদের গ্যালাক্সির গঠন ও কাঠামো সম্পর্কে শিখতে;,আমাদের গ্যালাক্সির গঠন ও কাঠামো সম্পর্কে শেখা;
"তারা তারা, গ্রহ এবং অন্যান্য মহাজাগতিক দেহ সম্পর্কে আকর্ষণীয় তথ্য আবিষ্কার করতে;","তারা, গ্রহ এবং অন্যান্য মহাজাগতিক বস্তু সম্পর্কে আকর্ষণীয় তথ্য আবিষ্কার করা;"
হাতে-কলমে কার্যক্রম ও পরীক্ষা-নিরীক্ষায় অংশগ্রহণ করতে;,হাতে-কলমে কার্যক্রম ও পরীক্ষা-নিরীক্ষায় অংশগ্রহণ করা;
বিশেষজ্ঞ উপস্থাপকদের সাথে যোগাযোগ করতে এবং প্রশ্ন করতে।,বিশেষজ্ঞ উপস্থাপকদের সাথে অংশ নেয়া এবং তাদেরকে প্রশ্ন করা।
"এই কার্যক্রমের খরচ হল $২০ প্রতি শিক্ষার্থী, যা বিশেষজ্ঞ উপস্থাপক এবং উপকরণের জন্য খরচ সম্পন্ন করে।","এই কার্যক্রমের খরচ হল $২০ প্রতি শিক্ষার্থী, যার মধ্যে বিশেষজ্ঞ উপস্থাপক এবং উপকরণের খরচ অন্তর্ভুক্ত রয়েছে।"
"দয়া করে নিশ্চিত করুন যে শুক্রবার, ১২ই মার্চের মধ্যে স্কুলের পেমেন্ট পোর্টালের মাধ্যমে পেমেন্ট করা হয়েছে।","দয়া করে নিশ্চিত করুন যেন শুক্রবার, ১২ই মার্চের মধ্যে স্কুলের পেমেন্ট পোর্টালের মাধ্যমে এই ফি প্রদান করা হয়।"
দয়া করে সংযুক্ত অনুমতি পত্রটি পূরণ করুন এবং একই তারিখের মধ্যে আপনার সন্তানের বিজ্ঞান শিক্ষকের কাছে ফেরত দিন।,দয়া করে সংযুক্ত অনুমতি পত্রটি পূরণ করুন এবং একই তারিখের মধ্যে আপনার সন্তানের বিজ্ঞান শিক্ষকের কাছে ফেরত দিন।
