Generated,Corrected
ရေရှည် မိဘများ/စောင့်ရှောက်သူများခင်ဗျာ၊,လေးစားအပ်ပါသော မိဘ/စောင့်ရှောက်အုပ်ထန်းသူများ၊
ဒီအီးမေးလ်က သင်တို့အား ကောင်းကင်ကျန်းမာစွာ ရှိနေကြောင်း မျှော်လင့်ပါတယ်။,ဒီအီးမေးလ်က သင်တို့အား ကောင်းမွန်ကျန်းမာစွာရှိနေကြောင်း မျှော်လင့်ပါတယ်။
ကျွန်ုပ်သည် အများအတွက် စစ်ဆေးမှုတစ်ခု ပြုလုပ်သောအခါ ကျွန်ုပ်တို့အတန်းခန်းတွင် နစ် (ဖျားရောင်ပိုးရိုက်) ရှိကြောင်း သတင်းပေးလိုက်ပါသည်။,လုပ်ရိုးလုပ်စဉ်အရ ပုံမှန် စစ်ဆေးမှုတစ်ခု ပြုလုပ်သောအခါ ကျွန်ုပ်တို့၏အတန်းခန်းတွင်၊ သန်းဖျ (သန်းကောင်ဉများ)တွေ့ရှိခဲ့ကြောင်း အသိပေးရန် ကျွန်တော် စာရေးနေပါသည်။
နစ်များရှိမှုသည် ဖျားရောင်ပိုးများရှိခြင်းကို မညွှန်းပါ၊ သို့သော် ကျောင်းသားများကြား ဖျားရောင်ပိုးများ ထပ်မံ ဖျော်ဖြေရန် ရှောင်ရှားရန် တားဆီးရေး အဆင့်များကို လုပ်ဆောင်ရန် အရေးကြီးသည်။,သန်းဖျများရှိခြင်းသည် သန်းဖျများပြန့်ပွားခြင်းကို ညွှန်ပြနေမည်မဟုတ်သော်လည်း၊ ကျောင်းသားများကြား သန်းဖျများ မပြန့်ပွားအောင် ကြိုတင် ကာကွယ်ရန် တားဆီးရေး အဆင့်များကို လုပ်ဆောင်ရန် အရေးကြီးသည်။
သို့ဖြစ်၍ ကျေးဇူးပြုပြီး သင်၏ကလေး၏ ဆံပင်ကို နစ်နှင့် ဖျားရောင်ပိုးများရှိမရှိ စစ်ဆေးရန် တိုက်တွန်းပါသည်။,ကျေးဇူးပြုပြီး သင်၏ကလေး၏ ဆံပင်ကို သန်းဖျနှင့် သန်းကောင်ပိုးများရှိမရှိ စစ်ဆေးရန် တိုက်တွန်းပါသည်။
နစ်များ သို့မဟုတ် ဖျားရောင်ပိုးများ ရှိပါက ကျန်းမာရေး အာဏာပိုင်များက ပေးထားသော ကုသမှုနှင့် တားဆီးရေး လမ်းညွှန်ချက်များကို သေချာလိုက်နာပါ။,သန်းဖျများ သို့မဟုတ် သန်းကောင်ပိုးများ ရှိပါက ကျန်းမာရေး အာဏာပိုင်များက ပေးထားသော ကုသမှုနှင့် တားဆီးရေး လမ်းညွှန်ချက်များကို သေချာလိုက်နာပါ။
သင်၏ကလေးတွင် ဖျားရောင်ပိုးများ ရှိပါက ကျောင်းကို သတိပေးရန် အရေးကြီးသည်၊ ထို့ကြောင့် ဆက်စပ် အဆင့်များကို လုပ်ဆောင်နိုင်ပါသည်။,သင်၏ကလေးတွင် သန်းကောင်ပိုးများ ရှိပါက ကျောင်းကို အကြောင်းကြားရန်လိုအပ်ပြီး ထပ်မံမပြန့်ပွားစေရန်အတွက် သင့်လျော်သော အဆင့်များကို လုပ်ဆောင်နိုင်ပါသည်။
ဖျားရောင်ပိုးများ ထပ်မံဖြစ်ပွားမှုကို ရှောင်ရှားရန် သင်၏ကလေးကို သူတို့အတန်းဖက်နှင့် ဦးထုပ်၊ ဆံပင်ဆက်စပ်ပစ္စည်းများ၊ အမြစ်များ သို့မဟုတ် ဆံပင်ဖျက်များ မဝေမျှရန် သတိပေးပါ။,သန်းကောင်ပိုးများ ထပ်မံဖြစ်ပွားမှုကို ကာကွယ်အတွက် ဦးထုပ်များ၊ ဆံပင်အတွက်အသုံးအဆောင်ပစ္စည်းများ၊ ဘီးများ၊ သို့မဟုတ် စုတ်တံများကို အတန်းဖေါ်များနှင့် မမျှဝေရန် သင့်ကလေးကိုသတိပေးပါ။
ဦးထုပ်၊ အိပ်ခန်းအလွတ်နှင့် အထည်အလိပ်များကို နွေးထွေးသောရေဖြင့် အမြဲမကြာခဏ ဆေးခြင်းနှင့် ချက်ခြင်းသည် ဖျားရောင်ပိုးများနှင့် နစ်များကို ဖျက်စီးရန် ကူညီနိုင်ပါသည်။,ဉီးထုပ်များ၊ အိပ်ရာခင်းများနှင့် အဝတ်အစားများကို ရေနွေးဖြင့်မှန်မှန်လျှောခြင်းနှင့် အခြောင်ခံခြင်းသည်လည်း သန်းဖျနှင့် သန်းကောင်ပိုးများကို ဖယ်ရှားပေးနိုင်ပါသည်။
ကျောင်းသားများ၏ ကျန်းမာရေးနှင့် ကောင်းမွန်မှုသည် ကျွန်ုပ်တို့၏ အထူးအစဉ်အလာဖြစ်ပြီး၊ ဤပြဿနာကို သင့်လျော်စွာ ဖြေရှင်းရန် သင်၏ပူးပေါင်းမှုကို ကျွန်ုပ်တို့ ကံတရားမရှိစွာ အထူးကျေးဇူးတင်ပါသည်။,ကျောင်းသားများ၏ ကျန်းမာရေးနှင့် ကျန်းမာချမ်းသာကောင်းမွန်မှုသည် ကျွန်ုပ်တို့၏ အထူးထိပ်တန်းဉီးစားပေးဖြစ်ပြီး ဤပြဿနာကို ဆောလျင်စွာ ဖြေရှင်းရာတွင် သင်၏ပူးပေါင်းဆောင်ရွက်မှုကို ကျွန်ုပ်တို့ အထူးကျေးဇူးတင်ပါသည်။
