Generated,Corrected
Kepada Orang Tua/Wali，,Kepada Orang Tua/Wali，
Semoga email ini menemui Anda dalam keadaan baik。,Semoga Anda dalam keadaan baik。
Saya menulis untuk memberitahukan bahwa selama inspeksi rutin，ditemukan nits (telur kutu) di kelas kami。,Dengan ini saya ingin memberitahukan bahwa selama inspeksi rutin，telah ditemukan telur kutu di kelas kami。
Meskipun keberadaan nits tidak selalu menunjukkan adanya infestasi，penting untuk mengambil langkah proaktif guna mencegah penyebaran kutu di antara siswa。,Meskipun keberadaan telur kutu tidak selalu menandakan adanya wabah kutu，penting untuk mengambil langkah proaktif guna mencegah penyebaran kutu di antara siswa。
Sebagai langkah pencegahan，saya mohon Anda untuk memeriksa rambut anak Anda dari nits dan kutu。,Sebagai langkah pencegahan，saya mohon Anda memeriksa rambut anak Anda untuk mencari kutu dan telurnya。
Jika ditemukan nits atau kutu，harap mengikuti pedoman pengobatan dan pencegahan yang disediakan oleh otoritas kesehatan。,Jika ditemukan kutu atau telurnya，harap ikuti pedoman pengobatan dan pencegahan yang diberikan oleh otoritas kesehatan。
Sangat penting untuk memberitahu sekolah jika anak Anda memiliki kutu agar kami dapat mengambil langkah yang tepat untuk mencegah penyebaran lebih lanjut。,Sangat penting untuk memberitahu sekolah jika ada kutu pada rambut anak Anda agar kami dapat mengambil langkah yang tepat untuk mencegah penyebaran lebih lanjut。
Untuk mencegah penyebaran kutu，mohon ingatkan anak Anda untuk tidak berbagi topi，aksesori rambut，sisir，atau sikat dengan teman sekelasnya。,Untuk mencegah penyebaran kutu，mohon ingatkan anak Anda untuk tidak berbagi topi，aksesori rambut，sisir，atau sikat dengan teman sekelasnya。
Mencuci dan mengeringkan topi，sprei，dan pakaian secara teratur dengan air panas juga dapat membantu menghilangkan kutu dan nits。,Mencuci dengan air panas dan mengeringkan topi，sprei，dan pakaian secara teratur juga dapat membantu menghilangkan kutu dan telurnya。
Kesehatan dan kesejahteraan siswa kami adalah prioritas utama kami，dan kami menghargai kerja sama Anda dalam menangani masalah ini dengan cepat。,Kesehatan dan kesejahteraan siswa kami adalah prioritas utama kami，dan kami menghargai kerja sama Anda dalam menangani masalah ini dengan cepat。
Jika Anda memiliki pertanyaan atau kekhawatiran，jangan ragu untuk menghubungi saya atau perawat sekolah。,Jika Anda memiliki pertanyaan atau kekhawatiran，jangan ragu untuk menghubungi saya atau perawat sekolah。
Terima kasih atas perhatian Anda terhadap masalah ini。,Terima kasih atas perhatian Anda terhadap masalah ini。
Hormat kami，,Hormat kami，
