Generated,Corrected
"Их сургуулийн эцэг, эх, асран хамгаалагчид,","Эцэг, эх, асран хамгаалагчид танаа,"
Сайн байцгаана уу? Энэ имэйл танд сайн сайхан байгааг хүсэж байна.,Танд энэхүү имэйл очих өдрийн мэндийг хүргэе!
Би танд мэдээлэл хүргэхээр бичиж байна. Бидний анги танхимд руутай (шумуулын өндөг) илэрсэн байна.,Анги танхимд тогтмол үзлэгийн үеэр хуурс (бөөсний өндөг) илэрсэн талаар танд мэдээлэл хүргэхээр энэхүү имэйл илгээж байна.
"Руутай байх нь заавал халдварласан гэсэн үг биш ч, сурагчдын дунд шумуул тархахаас сэргийлэхийн тулд урьдчилан арга хэмжээ авах нь чухал.","Хуурс илэрсэн гэдэг нь заавал халдвар тархсан гэсэн үг биш хэдий ч, сурагчдын дунд бөөс тархахаас сэргийлэхийн тулд урьдчилан арга хэмжээ авах нь чухал юм."
"Сэргийлэх арга хэмжээ болгон, та хүүхдийнхээ үсийг руутай, шумуултай эсэхийг шалгахыг хүсч байна.","Бөөстөхөөс урьдчилан сэргийлэхийн тулд, та хүүхдийнхээ үсэнд хуурс болон бөөс байгаа эсэхийг шалгана уу."
Хэрэв руутай эсвэл шумуултай бол эрүүл мэндийн байгууллагуудаас өгсөн эмчилгээ болон сэргийлэлт хийх зааврыг дагаж мөрдөхийг хүсье.,Хуурс эсвэл бөөс илэрсэн тохиолдолд эрүүл мэндийн байгууллагуудын гаргасан эмчилгээ болон урьдчилан сэргийлэх зааврыг дагаж мөрдөнө үү.
"Хэрэв таны хүүхэд шумуултай бол сургуулийг мэдэгдэх нь чухал, ингэснээр бид цаашид тархахаас сэргийлэх арга хэмжээ авах боломжтой.",Хэрэв таны хүүхэд бөөсөөр халдварласан бол сургуулийн захиргаанд зайлшгүй хандах шаардлагатай ба ингэснээр бид цаашид тархахаас сэргийлэх арга хэмжээ авах боломжтой болно.
"Шумуул тархаахаас сэргийлэхийн тулд, хүүхдээ ангийнхантайгаа малгай, үсний хэрэгсэл, сам, сойз хуваалцахгүй байхыг сануулна уу.","Бөөс тархаахаас сэргийлэхийн тулд, та хүүхэддээ ангийнхантайгаа малгай, үсний хэрэгсэл, үсний самыг хуваалцахгүй байхыг анхааруулна уу."
"Мөн малгай, ор, хувцсыг халуун усанд тогтмол угааж, хатаах нь шумуул, руутайг устгахад тусалдаг.","Мөн малгай, цагаан хэрэглэл, хувцсыг халуун усанд тогтмол угааж, хатаах нь бөөс болон хуурсыг устгахад тусалдаг."
"Сурагчдын эрүүл мэнд, сайн сайхан байдал бидний хамгийн чухал зорилго бөгөөд энэ асуудлыг шуурхай шийдвэрлэхэд танай хамтын ажиллагааг үнэлж байна.","Сурагчдын эрүүл мэнд, сайн сайхан байдал нь бидний эн тэргүүний зорилт бөгөөд энэ асуудлыг шуурхай шийдвэрлэхэд хамтран ажилласан танд баярлалаа."
"Хэрэв та асуулт, санаа зоволттой бол надаас эсвэл сургуулийн эмчээс холбоо барихаас бүү эргэлзээрэй.","Хэрэв танд асуулт, болон шийдвэрлэх асуудал байгаа бол надтай эсвэл сургуулийн сувилагчтай холбоо барина уу."
Энэ асуудалд анхаарал хандуулсанд баярлалаа.,Энэ асуудалд анхаарал хандуулсанд баярлалаа.
"Их хүндэтгэлтэйгээр,","Хүндэтгэсэн,"
