Generated,Corrected
"Prezados Pais/Responsáveis,","Prezados Pais/Encarregados de Educação,"
Espero que este e-mail os encontre bem.,Espero que este e-mail os encontre bem.
"Estou escrevendo para informar que, durante uma inspeção de rotina, foram detectados lêndias (ovos de piolho) em nossa sala de aula.",Estou a escrever-lhes para os informar que durante uma inspeção de rotina foram detetadas lêndeas (ovos de piolho) na nossa sala de aula.
"Embora a presença de lêndias não indique necessariamente uma infestação, é importante tomar medidas proativas para prevenir a propagação de piolhos entre os alunos.","Embora a presença de lêndeas não signifique necessariamente uma infestação, é importante tomar medidas proativas para prevenir a propagação de piolhos entre os alunos."
"Como medida de precaução, peço gentilmente que verifiquem o cabelo de seu filho em busca de lêndias e piolhos.","Como medida de precaução, venho pedir que inspecionem o cabelo da sua criança para identificar lêndeas e piolhos."
"Se forem encontrados lêndias ou piolhos, por favor, sigam as orientações de tratamento e prevenção recomendadas pelas autoridades de saúde.","Se encontrarem lêndeas ou piolhos, por favor sigam as diretrizes de tratamento e prevenção recomendadas pelas autoridades de saúde."
É essencial notificar a escola se seu filho tiver piolhos para que possamos tomar as medidas apropriadas para evitar uma nova propagação.,É essencial notificar a escola se a sua criança tiver piolhos para que possamos tomar as medidas necessárias para evitar uma nova propagação.
"Para prevenir a disseminação de piolhos, lembre-se de orientar seu filho a não compartilhar chapéus, acessórios de cabelo, pentes ou escovas com os colegas.","De modo a prevenir a disseminação de piolhos, lembre a sua criança de não partilhar chapéus, acessórios de cabelo, pentes ou escovas com os colegas."
"Lavar e secar regularmente chapéus, roupas de cama e vestuário em água quente também pode ajudar a eliminar piolhos e lêndias.","Lavar em água quente e secar regularmente chapéus, roupas de cama e vestuário pode também ajudar a eliminar piolhos e lêndeas."
"A saúde e o bem-estar de nossos alunos são nossa principal prioridade, e agradecemos sua cooperação para resolver essa questão rapidamente.","A saúde e o bem-estar de nossos alunos são nossa principal prioridade, e assim agradecemos a sua cooperação para resolver essa questão rapidamente."
"Se tiver alguma dúvida ou preocupação, não hesite em entrar em contato comigo ou com a enfermeira da escola.","Se tiver qualquer dúvida ou preocupação, não hesite em entrar em contato comigo ou com a enfermeira da escola."
Obrigado pela atenção a este assunto.,Obrigado pela sua atenção a este assunto.
"Atenciosamente,","Atenciosamente,"
"Estamos empolgados em anunciar que nossa talentosa trupe de dança ""Happy Clapper"", composta por 20 alunos dos estágios 2 e 3, irá mostrar suas habilidades e arte na próxima competição Eisteddfod no Sydney Opera House.","Estamos muito entusiasmados em anunciar que o nosso talentoso grupo de dança ""Happy Clapper"", composto por 20 alunos dos níveis 2 e 3, irá apresentar as suas habilidades e arte na próxima competição Eisteddfod na Sydney Opera House."
"Os dançarinos têm ensaiado dedicadamente e aperfeiçoado suas coreografias sob a orientação de seus instrutores, e estão prontos para brilhar no palco com confiança e entusiasmo.","Os dançarinos têm ensaiado e aperfeiçoado as suas rotinas de forma dedicada sob a orientação de seus instrutores, e estão prontos para subir ao palco com confiança e entusiasmo."
"Esta é uma oportunidade fantástica para nossos alunos demonstrarem sua criatividade, trabalho em equipe e paixão pela dança.","Esta é uma oportunidade fantástica para nossos alunos demonstrarem a sua criatividade, trabalho em equipa e paixão pela dança."
Vamos mostrar nosso apoio e torcer pela nossa trupe de dança enquanto iluminam o palco com seu talento e dedicação no Eisteddfod!,Vamos mostrar o nosso apoio e incentivar o nosso grupo de dança enquanto iluminam o palco com o seu talento e dedicação no Eisteddfod!
"Prezados Pais e Responsáveis,","Prezados Pais e Encarregados de Educação,"
Estamos empolgados em anunciar uma incursão de ciências para nossos alunos do 8º ano na Harmony High School.,Estamos entusiasmados em anunciar uma próxima feira de ciências para os nossos alunos do 8º ano na Harmony High School.
"Esta incursão, intitulada ""Explorando Nossa Galáxia"", proporcionará uma experiência de aprendizado envolvente e interativa sobre as maravilhas da nossa galáxia, a Via Láctea.","Esta feira, intitulada ""Explorando a Nossa Galáxia"", proporcionará uma experiência de aprendizagem envolvente e interativa sobre as maravilhas da nossa galáxia, a Via Láctea."
Detalhes da Incursão:,Detalhes da Feira:
"• Data: Quarta-feira, 17 de março.","• Data: Quarta-feira, 17 de março."
• Horário: 10:00 - 12:00.,• Horário: 10h00 – 12h00.
• Local: Auditório da Harmony High School.,• Local: Auditório da Harmony High School.
• Custo: $20 por aluno.,• Custo: $20 por aluno.
"Durante esta incursão, os alunos terão a oportunidade de:","Durante esta feira, os alunos terão a oportunidade de:"
• Aprender sobre a formação e a estrutura da nossa galáxia;,• Aprender sobre a formação e a estrutura da nossa galáxia;
"• Descobrir fatos fascinantes sobre estrelas, planetas e outros corpos celestes;","• Descobrir fatos fascinantes sobre estrelas, planetas e outros corpos celestes;"
• Participar de atividades práticas e experimentos;,• Participar de atividades práticas e experiências;
• Interagir com apresentadores especialistas e fazer perguntas.,• Interagir com apresentadores especializados e fazer perguntas.
"O custo desta incursão é de $20 por aluno, que cobre as despesas com os apresentadores especialistas e materiais.","O custo desta feira é de $20 por aluno, o que cobre as despesas dos apresentadores especializados e materiais."
"Por favor, assegure-se de que o pagamento seja feito através do portal de pagamentos da escola até sexta-feira, 12 de março.","Por favor, assegurem-se de que o pagamento é feito através do portal de pagamentos da escola até sexta-feira, 12 de março."
Pedimos que preencha o formulário de autorização anexado e o devolva ao professor de Ciências de seu filho até a mesma data.,Por favor preencham o formulário de autorização anexado e devolvam-no ao professor de Ciências da sua criança até a mesma data.
Esta incursão é uma oportunidade fantástica para nossos alunos aprofundarem sua compreensão da astronomia e ganharem uma maior apreciação pelo universo em que vivemos.,Esta feira é uma oportunidade fantástica para nossos alunos aprofundarem a sua compreensão da astronomia e ganharem uma maior apreciação pelo universo em que vivemos.
Acreditamos que será uma experiência inspiradora e educativa para todos os participantes.,Acreditamos que será uma experiência inspiradora e educativa para todos os participantes.
