Generated,Corrected
"ਪਿਆਰੇ ਮਾਪੇ/ਸੰਭਾਲਕ, ਉਮੀਦ ਹੈ ਕਿ ਇਹ ਈਮੇਲ ਤੁਹਾਨੂੰ ਚੰਗੀ ਤਰ੍ਹਾਂ ਮਿਲੇਗੀ।","ਪਿਆਰੇ ਮਾਪੇ/ਸੰਭਾਲਕਰਤਾ, ਉਮੀਦ ਹੈ ਕਿ ਇਹ ਈਮੇਲ ਮਿਲਦੇ ਸਮੇਂ ਤੁਸੀਂ ਠੀਕ-ਠਾਕ ਹੋ।"
ਮੈਂ ਤੁਹਾਨੂੰ ਇਹ ਜਾਣੂ ਕਰਾਉਣ ਲਈ ਲਿਖ ਰਿਹਾ ਹਾਂ ਕਿ ਇੱਕ ਰੁਟੀਨ ਨਿਰੀਖਣ ਦੌਰਾਨ ਸਾਡੇ ਕਲਾਸਰੂਮ ਵਿੱਚ ਨਿਟਸ (ਲਾਈਸ ਦੇ ਅੰਡੇ) ਦੀ ਪਛਾਣ ਹੋਈ ਹੈ।,ਮੈਂ ਤੁਹਾਨੂੰ ਇਹ ਜਾਣੂ ਕਰਾਉਣ ਲਈ ਲਿਖ ਰਿਹਾ ਹਾਂ ਕਿ ਇੱਕ ਰੁਟੀਨ ਨਿਰੀਖਣ ਦੌਰਾਨ ਸਾਡੇ ਕਲਾਸਰੂਮ ਵਿੱਚ ਨਿਟਸ (ਜੂਆਂ ਦੇ ਆਂਡੇ) ਵੇਖੇ ਗਏ ਹਨ।
"ਜਦੋਂਕਿ ਨਿਟਸ ਦੀ ਮੌਜੂਦਗੀ ਬੀਮਾਰੀ ਦਾ ਸੰਕੇਤ ਨਹੀਂ ਦਿੰਦੀ, ਇਹ ਜਰੂਰੀ ਹੈ ਕਿ ਵਿਦਿਆਰਥੀਆਂ ਵਿੱਚ ਲਾਈਸ ਦੇ ਫੈਲਣ ਤੋਂ ਰੋਕਣ ਲਈ ਪਹਿਲਾਂ ਤੋਂ ਹੀ ਉਪਾਇਆਂ ਨੂੰ ਅਪਣਾਇਆ ਜਾਵੇ।","ਹਾਲਾਂਕਿ ਨਿਟਸ ਦੀ ਮੌਜੂਦਗੀ ਇਸ ਗੱਲ ਦਾ ਸੰਕੇਤ ਨਹੀਂ ਦਿੰਦੀ ਹੈ ਕਿ ਇਹ ਬਹੁਤਾਤ ਵਿੱਚ ਫੈਲ ਹੀ ਗਈਆਂ ਹਨ, ਇਹ ਜਰੂਰੀ ਹੈ ਕਿ ਵਿਦਿਆਰਥੀਆਂ ਵਿੱਚ ਜੂਆਂ ਨੂੰ ਫੈਲਣ ਤੋਂ ਰੋਕਣ ਲਈ ਪਹਿਲਾਂ ਤੋਂ ਹੀ ਉਪਾਅ ਕਰ ਲਏ ਜਾਣ।"
"ਇੱਕ ਸਾਵਧਾਨੀ ਦੇ ਤੌਰ 'ਤੇ, ਮੈਂ ਬੇਨਤੀ ਕਰਦਾ ਹਾਂ ਕਿ ਤੁਸੀਂ ਆਪਣੇ ਬੱਚੇ ਦੇ ਵਾਲਾਂ ਦੀ ਜਾਂਚ ਕਰੋ ਕਿ ਉਨ੍ਹਾਂ ਵਿੱਚ ਨਿਟਸ ਜਾਂ ਲਾਈਸ ਤਾਂ ਨਹੀਂ ਹਨ।","ਸਾਵਧਾਨੀਵਜੋਂ, , ਮੈਂ ਤੁਹਾਨੂੰ ਬੇਨਤੀ ਕਰਦਾ ਹਾਂ ਕਿ ਤੁਸੀਂ ਆਪਣੇ ਬੱਚੇ ਦੇ ਵਾਲਾਂ ਦੀ ਜਾਂਚ ਕਰੋ ਕਿ ਉਨ੍ਹਾਂ ਵਿੱਚ ਨਿਟਸ ਜਾਂ ਜੂਆਂ ਤਾਂ ਨਹੀਂ ਹਨ।"
"ਜੇ ਨਿਟਸ ਜਾਂ ਲਾਈਸ ਮਿਲਦੇ ਹਨ, ਤਾਂ ਕ੍ਰਿਪਾ ਕਰਕੇ ਸਿਹਤ ਅਧਿਕਾਰੀਆਂ ਦੁਆਰਾ ਦਿੱਤੇ ਗਏ ਚਿਕਿਤਸਾ ਅਤੇ ਰੋਕਥਾਮ ਦੇ ਨਿਯਮਾਂ ਦੀ ਪਾਲਣਾ ਕਰੋ।","ਜੇ ਨਿਟਸ ਜਾਂ ਜੂਆਂ ਦਿਖਾਈ ਦਿੰਦਿਆਂ ਹਨ, ਤਾਂ ਕ੍ਰਿਪਾ ਕਰਕੇ ਸਿਹਤ ਅਧਿਕਾਰੀਆਂ ਦੁਆਰਾ ਦਿੱਤੇ ਗਏ ਚਿਕਿਤਸਾ ਅਤੇ ਰੋਕਥਾਮ ਦੇ ਹਿਦਾਇਤਾਂ ਦੀ ਪਾਲਣਾ ਕਰੋ।"
ਜੇ ਤੁਹਾਡੇ ਬੱਚੇ ਨੂੰ ਲਾਈਸ ਹੈ ਤਾਂ ਸਕੂਲ ਨੂੰ ਜਰੂਰ ਜਾਣੂ ਕਰੋ ਤਾਂ ਕਿ ਅਸੀਂ ਅੱਗੇ ਫੈਲਣ ਤੋਂ ਰੋਕ ਸਕੀਏ।,ਜੇ ਤੁਹਾਡੇ ਬੱਚੇ ਨੂੰ ਜੂਆਂ ਪੈ ਗਈਆਂ ਹਨ ਤਾਂ ਸਕੂਲ ਨੂੰ ਜਰੂਰ ਜਾਣੂ ਕਰੋ ਤਾਂ ਕਿ ਅਸੀਂ ਇਸ ਨੂੰ ਅੱਗੇ ਫੈਲਣ ਤੋਂ ਰੋਕ ਸਕੀਏ।
"ਲਾਈਸ ਦੇ ਫੈਲਣ ਤੋਂ ਰੋਕਣ ਲਈ, ਕ੍ਰਿਪਾ ਕਰਕੇ ਆਪਣੇ ਬੱਚੇ ਨੂੰ ਯਾਦ ਦਿਵਾਓ ਕਿ ਉਹ ਆਪਣੇ ਸਾਥੀ ਵਿਦਿਆਰਥੀਆਂ ਨਾਲ ਟੋਪੀ, ਵਾਲਾਂ ਦੇ ਸਾਜ਼-ਸਾਮਾਨ, ਕਾਂਬੀਆਂ ਜਾਂ ਬਰਸ਼ਾਂ ਨੂੰ ਸਾਂਝਾ ਨਾ ਕਰੇ।","ਜੂਆਂ ਨੂੰ ਫੈਲਣ ਤੋਂ ਰੋਕਣ ਲਈ, ਕ੍ਰਿਪਾ ਕਰਕੇ ਆਪਣੇ ਬੱਚੇ ਨੂੰ ਯਾਦ ਦਿਵਾਓ ਕਿ ਉਹ ਆਪਣੇ ਸਾਥੀ ਵਿਦਿਆਰਥੀਆਂ ਨਾਲ ਟੋਪੀਆਂ, ਵਾਲਾਂ ‘ਚ ਇਸਤੇਮਾਲ ਕੀਤਾ ਜਾਣ ਵਾਲਾ ਸਾਜ਼ੋ-ਸਾਮਾਨ, ਕੰਘੀਆਂ ਜਾਂ ਬਰਸ਼ਾਂ ਨੂੰ ਸਾਂਝਾ ਨਾ ਕਰਨ।"
"ਟੋਪੀ, ਬਿਸਤਰੇ ਦੇ ਚਾਦਰਾਂ ਅਤੇ ਕਪੜੇ ਨੂੰ ਗਰਮ ਪਾਣੀ ਵਿੱਚ ਨਿਯਮਤ ਤੌਰ 'ਤੇ ਧੋਣਾ ਅਤੇ ਸੁੱਕਾਉਣਾ ਵੀ ਲਾਈਸ ਅਤੇ ਨਿਟਸ ਨੂੰ ਖਤਮ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰ ਸਕਦਾ ਹੈ।","ਟੋਪੀਆਂ, ਬਿਸਤਰੇ ਦੀਆਂ ਚਾਦਰਾਂ ਅਤੇ ਕੱਪੜਿਆਂ ਨੂੰ ਗਰਮ ਪਾਣੀ ਵਿੱਚ ਨਿਯਮਤ ਤੌਰ 'ਤੇ ਧੋਣਾ ਅਤੇ ਸੁੱਕਾਉਣਾ ਵੀ ਜੂਆਂ ਅਤੇ ਨਿਟਸ ਨੂੰ ਖਤਮ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰ ਸਕਦਾ ਹੈ।"
"ਸਾਡੇ ਵਿਦਿਆਰਥੀਆਂ ਦੀ ਸਿਹਤ ਅਤੇ ਸੁਖ-ਸਮ੍ਰਿੱਧੀ ਸਾਡੀ ਪ੍ਰਾਥਮਿਕਤਾ ਹੈ, ਅਤੇ ਅਸੀਂ ਇਸ ਮੁੱਦੇ ਨੂੰ ਜਲਦੀ ਹੱਲ ਕਰਨ ਲਈ ਤੁਹਾਡੇ ਸਹਿਯੋਗ ਦੀ ਸਾਰੀ قدر ਕਰਦੇ ਹਾਂ।","ਸਾਡੇ ਵਿਦਿਆਰਥੀਆਂ ਦੀ ਸਿਹਤ ਅਤੇ ਸੁਖ-ਸਮ੍ਰਿੱਧੀ ਸਾਡੀ ਪ੍ਰਾਥਮਿਕਤਾ ਹੈ, ਅਤੇ ਅਸੀਂ ਇਸ ਮੁੱਦੇ ਨੂੰ ਜਲਦੀ ਹੱਲ ਕਰਨ ਲਈ ਤੁਹਾਡੇ ਸਹਿਯੋਗ ਦੀ ਸ਼ਲਾਘਾ ਕਰਦੇ ਹਾਂ।"
"ਜੇ ਤੁਹਾਡੇ ਕੋਲ ਕੋਈ ਸਵਾਲ ਜਾਂ ਚਿੰਤਾਵਾਂ ਹਨ, ਤਾਂ ਕ੍ਰਿਪਾ ਕਰਕੇ ਮੈਨੂੰ ਜਾਂ ਸਕੂਲ ਦੇ ਨਰਸ ਨੂੰ ਸੰਪਰਕ ਕਰਨ ਵਿੱਚ ਹਿਚਕਿਚਾਓ ਨਾ।","ਜੇ ਤੁਹਾਡੇ ਕੋਈ ਸਵਾਲ ਜਾਂ ਕੋਈ ਚਿੰਤਾਵਾਂ ਹਨ, ਤਾਂ ਕ੍ਰਿਪਾ ਕਰਕੇ ਮੈਨੂੰ ਜਾਂ ਸਕੂਲ ਨਰਸ ਨੂੰ ਸੰਪਰਕ ਕਰਨ ਵਿੱਚ ਹਿਚਕਿਚਾਓ ਨਾ।"
